tool	threshold	alignment_rows_after_threshold	unique_edges	collapsed_duplicate_hits	median_pident	median_length	median_bitscore
blastp	raw	6550093	1672855	4877238	31.553	153.0	53.3
mmseqs	raw	1577493	896062	681431	32.9	247.0	109.0
swipe	raw	7710776	4290821	3419955	23.92	193.0	35.2
blastp	evalue_1e-3	4835520	1219656	3615864	32.658	189.0	72.2
mmseqs	evalue_1e-3	1577493	896062	681431	32.9	247.0	109.0
swipe	evalue_1e-3	2908110	1490949	1417161	28.24	236.0	62.6
blastp	evalue_1e-5	4004379	1011922	2992457	33.913	211.0	88.1
mmseqs	evalue_1e-5	1468428	824586	643842	34.1	260.0	121.0
swipe	evalue_1e-5	2209848	1121465	1088383	30.39	255.0	80.1
blastp	evalue_1e-10	2891331	741544	2149787	37.397	247.0	124.0
mmseqs	evalue_1e-10	1241673	681938	559735	37.6	288.0	151.0
swipe	evalue_1e-10	1452159	731243	720916	35.71	289.0	122.9
